time,seconds_elapsed,z,y,x
1683127765540563200,0.150563232421875,2.560737133026123,-6.123079299926758,1.632834792137146
1683127765558416000,0.168415771484375,2.6009702682495117,-6.129815101623535,1.6524240970611572
1683127765576247600,0.18624755859375,2.5195088386535645,-6.112841606140137,1.671748161315918
1683127765594081800,0.204081787109375,2.6548190116882324,-6.122267723083496,1.6551530361175537
1683127765611929900,0.221929931640625,2.528604507446289,-6.111859321594238,1.6608818769454956
1683127765629767700,0.239767578125,2.528891086578369,-6.103651523590088,1.7216992378234863
1683127765647609000,0.257609130859375,2.709625244140625,-6.150296688079834,1.64327073097229
1683127765665448000,0.275447998046875,2.5067873001098633,-6.13221549987793,1.633509635925293
1683127765683286000,0.2932861328125,2.631013870239258,-6.144252300262451,1.7137588262557983
1683127765701123600,0.31112353515625,2.5734925270080566,-6.096409797668457,1.6643332242965698
1683127765718965000,0.328965087890625,2.604999542236328,-6.1431050300598145,1.6643943786621094
1683127765736803800,0.346803955078125,2.590949535369873,-6.120142459869385,1.6716479063034058
1683127765754640000,0.364639892578125,2.5019683837890625,-6.124759674072266,1.6685677766799927
1683127765772482600,0.382482666015625,2.6374011039733887,-6.131453514099121,1.655686616897583
1683127765790319600,0.400319580078125,2.5508322715759277,-6.10798978805542,1.6215989589691162
1683127765808159700,0.41815966796875,2.504091739654541,-6.1383233070373535,1.6835758686065674
1683127765825979600,0.435979736328125,2.6080822944641113,-6.155216693878174,1.6632705926895142
1683127765843837000,0.4538369140625,2.519805908203125,-6.071681022644043,1.6309455633163452
1683127765861675500,0.471675537109375,2.6138882637023926,-6.144826889038086,1.7384953498840332
1683127765879515000,0.489514892578125,2.516475200653076,-6.15283727645874,1.6679177284240723
1683127765897347800,0.507347900390625,2.7045021057128906,-6.112947940826416,1.6418116092681885
1683127765915194600,0.525194580078125,2.550786018371582,-6.121551036834717,1.6730574369430542
1683127765933031700,0.54303173828125,2.5499086380004883,-6.091405391693115,1.6444106101989746
1683127765950870500,0.56087060546875,2.703852653503418,-6.083863258361816,1.6139196157455444
1683127765968710400,0.57871044921875,2.532439708709717,-6.105301380157471,1.68232262134552
1683127765986548700,0.596548828125,2.511570930480957,-6.164224624633789,1.7065905332565308
1683127766004387000,0.614386962890625,2.5383763313293457,-6.131522178649902,1.676363229751587
1683127766022226400,0.632226318359375,2.6019091606140137,-6.1042094230651855,1.6564631462097168
1683127766040054500,0.650054443359375,2.4549241065979004,-6.1403937339782715,1.6854631900787354
1683127766057904000,0.667904052734375,2.6488852500915527,-6.112310409545898,1.6008325815200806
1683127766075739600,0.68573974609375,2.578242301940918,-6.058532238006592,1.6440712213516235
1683127766093586400,0.70358642578125,2.531674861907959,-6.136225700378418,1.7142086029052734
1683127766111421000,0.7214208984375,2.624631881713867,-6.090676307678223,1.6505917310714722
1683127766129260000,0.739260009765625,2.545778274536133,-6.117094993591309,1.664292812347412
1683127766147094300,0.75709423828125,2.561985969543457,-6.13370418548584,1.6882368326187134
1683127766164939300,0.774939208984375,2.581887722015381,-6.0763773918151855,1.638855218887329
1683127766182774500,0.7927744140625,2.533694267272949,-6.076947212219238,1.6155918836593628
1683127766200619000,0.810618896484375,2.585369110107422,-6.114299774169922,1.6785187721252441
1683127766218455000,0.828455078125,2.479004383087158,-6.0712504386901855,1.6710643768310547
1683127766236295000,0.846294921875,2.6137657165527344,-6.113566875457764,1.6607708930969238
1683127766254132700,0.8641328125,2.4701924324035645,-6.092071533203125,1.6634550094604492
1683127766271970800,0.881970703125,2.526467800140381,-6.097492218017578,1.7086259126663208
1683127766289807400,0.899807373046875,2.673006057739258,-6.110558032989502,1.621870994567871
1683127766307652400,0.91765234375,2.466731071472168,-6.086921215057373,1.6221072673797607
1683127766325491700,0.93549169921875,2.6155600547790527,-6.12923526763916,1.698838233947754
1683127766343326500,0.953326416015625,2.5037922859191895,-6.069330215454102,1.6605439186096191
1683127766361163500,0.97116357421875,2.5939717292785645,-6.113955497741699,1.6565922498703003
1683127766379006200,0.989006103515625,2.532528877258301,-6.123338222503662,1.6439050436019897
1683127766396844800,1.0068447265625,2.509153366088867,-6.0711870193481445,1.6562633514404297
1683127766414684000,1.024683837890625,2.6088342666625977,-6.083456039428711,1.6146974563598633
1683127766432523500,1.0425234375,2.513214588165283,-6.068422794342041,1.6221643686294556
1683127766450361600,1.060361572265625,2.486652374267578,-6.064761161804199,1.6627118587493896
1683127766468200400,1.078200439453125,2.526944637298584,-6.106372833251953,1.6743552684783936
1683127766486039300,1.096039306640625,2.4952239990234375,-6.059070110321045,1.6457512378692627
1683127766503885800,1.1138857421875,2.531909465789795,-6.093903064727783,1.7261335849761963
1683127766521722600,1.13172265625,2.471879482269287,-6.109842300415039,1.6588090658187866
1683127766539555300,1.149555419921875,2.6594338417053223,-6.056380271911621,1.6080496311187744
1683127766557395500,1.1673955078125,2.4877161979675293,-6.055525302886963,1.6706618070602417
1683127766575233300,1.1852333984375,2.5193915367126465,-6.056780815124512,1.6374075412750244
1683127766593074700,1.20307470703125,2.627446174621582,-6.028426170349121,1.594882607460022
1683127766610913300,1.220913330078125,2.521183490753174,-6.068214416503906,1.6798770427703857
1683127766628736300,1.238736328125,2.453695774078369,-6.105433464050293,1.6690688133239746
1683127766646592800,1.2565927734375,2.4683804512023926,-6.078614234924316,1.6603072881698608
1683127766664425200,1.27442529296875,2.580045700073242,-6.074384689331055,1.6342853307724
1683127766682267600,1.292267578125,2.378096580505371,-6.0863261222839355,1.6661967039108276
1683127766700106200,1.310106201171875,2.600147247314453,-6.0755438804626465,1.598685622215271
1683127766717946000,1.327946044921875,2.4845728874206543,-6.008702754974365,1.6222761869430542
1683127766735785700,1.34578564453125,2.5022692680358887,-6.0801310539245605,1.7146625518798828
1683127766753623800,1.363623779296875,2.555358409881592,-6.044366836547852,1.6503721475601196
1683127766771463000,1.381462890625,2.4994277954101562,-6.03610897064209,1.6116920709609985
1683127766789301800,1.3993017578125,2.531229019165039,-6.063881874084473,1.6614102125167847
1683127766807138800,1.417138916015625,2.4980363845825195,-6.003096103668213,1.6136850118637085
1683127766824979200,1.434979248046875,2.4985828399658203,-5.982143878936768,1.5794224739074707
1683127766842821400,1.4528212890625,2.47674560546875,-6.055783271789551,1.6873934268951416
1683127766860657400,1.470657470703125,2.402034282684326,-6.026487827301025,1.6655731201171875
1683127766878497300,1.488497314453125,2.577319622039795,-6.065222263336182,1.6573028564453125
1683127766896335000,1.506335205078125,2.363037109375,-6.046666622161865,1.6619999408721924
1683127766914169900,1.524169921875,2.4904603958129883,-6.047035217285156,1.6692678928375244
1683127766932013300,1.542013427734375,2.5883684158325195,-6.043227672576904,1.5808355808258057
